Year,Location,Treatment,Replicate,Week,Injury,Primrose,Cspurry,Henbit,Filago,Violet,Dand,Geran,Chick,Cud,Horse,LQ,Poa,DogFennel,LivAmaranth,PinkPursl,Eclipta
2017,1,1,1,1,0,10,95,0,30,15,.,.,.,.,.,.,.,.,.,.,.
2017,1,1,2,1,0,10,95,0,50,50,.,.,.,.,.,.,.,.,.,.,.
2017,1,1,3,1,0,10,90,.,.,15,.,.,.,.,.,.,.,.,.,.,.
2017,1,2,1,1,0,10,90,10,50,30,.,.,.,.,.,.,.,.,.,.,.
2017,1,2,2,1,0,15,95,30,60,20,.,.,.,.,.,.,.,.,.,.,.
2017,1,2,3,1,0,10,90,80,90,.,.,.,.,.,.,.,.,.,.,.,.
2017,1,3,1,1,0,10,90,10,30,10,.,.,.,.,.,.,.,.,.,.,.
2017,1,3,2,1,0,10,95,20,40,20,.,.,.,.,.,.,.,.,.,.,.
2017,1,3,3,1,0,10,85,99,99,25,.,.,.,.,.,.,.,.,.,.,.
2017,1,4,1,1,0,10,90,10,.,0,.,.,.,.,.,.,.,.,.,.,.
2017,1,4,2,1,0,10,90,20,50,20,.,.,.,.,.,.,.,.,.,.,.
2017,1,4,3,1,0,10,90,.,90,0,.,.,.,.,.,.,.,.,.,.,.
2017,1,5,1,1,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.
2017,1,5,2,1,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.
2017,1,5,3,1,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.
2017,1,6,1,1,0,25,90,30,50,50,.,.,.,.,.,.,.,.,.,.,.
2017,1,6,2,1,0,50,99,90,90,65,.,.,.,.,.,.,.,.,.,.,.
2017,1,6,3,1,0,60,99,99,90,99,.,.,.,.,.,.,.,.,.,.,.
2017,1,7,1,1,0,30,99,75,75,40,.,.,.,.,.,.,.,.,.,.,.
2017,1,7,2,1,0,50,99,95,90,50,.,.,.,.,.,.,.,.,.,.,.
2017,1,7,3,1,0,65,99,90,95,80,.,.,.,.,.,.,.,.,.,.,.
2017,1,8,1,1,0,15,95,10,20,10,.,.,.,.,.,.,.,.,.,.,.
2017,1,8,2,1,0,25,99,90,75,10,.,.,.,.,.,.,.,.,.,.,.
2017,1,8,3,1,0,20,99,90,90,90,.,.,.,.,.,.,.,.,.,.,.
2017,1,9,1,1,0,10,99,10,30,10,.,.,.,.,.,.,.,.,.,.,.
2017,1,9,2,1,0,20,99,10,30,10,.,.,.,.,.,.,.,.,.,.,.
2017,1,9,3,1,0,10,95,.,90,20,.,.,.,.,.,.,.,.,.,.,.
2017,1,1,1,2,0,75,95,0,30,15,.,.,.,.,.,.,.,.,.,.,.
2017,1,1,2,2,0,65,95,0,50,50,.,.,.,.,.,.,.,.,.,.,.
2017,1,1,3,2,0,75,90,.,.,15,.,.,.,.,.,.,.,.,.,.,.
