Government Wine Cellar - Wine and Spirit Consumption and Sales April 2016 - March 2017,,,
,,,
Annual Consumption,,,
Country/Region,Vintage,Product name,Consumption
ALSACE,2007,Riesling Domaine Marcel Deiss,8
ALSACE,2007,"Riesling Kirchberg de Ribeauville, J Sipp",3
ALSACE,2008,Pinot Gris Domaine Rolly Gassmann ,8
ALSACE,2008,Riesling Grand Cru Saering Dom Schlumberger,1
ALSACE,2010,Gewurtztraminer Les Princes Abbes Dom Schlumberger ,3
ARGENTINA,2003,Prodigo Malbac Reserva Alessando Speri,3
AUSTRALIA,1999,Eileen Hardy Shiraz,8
AUSTRIA,2001,Gruner Veltiner Thal Novemberlese,13
AUSTRIA,2011,Loibner Steinertal Riesling Smaragd Pichler ,3
BORDEAUX (RED),1986,Chateau Cos D'Estournel (magnum) ,6
BORDEAUX (RED),1986,Chateau Giscours ,2
BORDEAUX (RED),1986,Vieux Chateau Certan (magnum),1
BORDEAUX (RED),1988,Chateau Rausan-Segla ,4
BORDEAUX (RED),1988,Chateau Troplong Mondot ,26
BORDEAUX (RED),1989,Chateau Cos D'Estournel,1
BORDEAUX (RED),1989,Chateau Leoville Las Cases ,7
BORDEAUX (RED),1990,Chateau Brane Cantenac,9
BORDEAUX (RED),1990,Chateau Calon Segur,19
BORDEAUX (RED),1990,Chateau Cos d'Estournel,14
BORDEAUX (RED),1990,Chateau Grand-Puy-Lacoste,29
BORDEAUX (RED),1990,Chateau Langoa Barton,22
BORDEAUX (RED),1990,Chateau Latour,1
BORDEAUX (RED),1990,Chateau Leoville Barton,26
BORDEAUX (RED),1990,Chateau Leoville Poyferre,7
BORDEAUX (RED),1990,Chateau Lynch Bages,8
BORDEAUX (RED),1990,Chateau Margaux,1
BORDEAUX (RED),1990,Chateau Mouton-Rothschild,1
BORDEAUX (RED),1990,Chateau Pichon-Longueville Baron,38
BORDEAUX (RED),1990,Chateau Senejac,2
BORDEAUX (RED),1994,Chateau La Grave a Pomerol ,5
BORDEAUX (RED),1994,Chateau Latour a Pomerol,14
BORDEAUX (RED),1995,Chateau Brane Cantenac,1
BORDEAUX (RED),1995,Chateau Clerc Milon,1
BORDEAUX (RED),1995,Chateau Durfort Vivens,1
BORDEAUX (RED),1995,Chateau Grand Mayne ,1
BORDEAUX (RED),1995,Chateau La Dominque,1
BORDEAUX (RED),1995,Chateau La Fleur Petrus,1
BORDEAUX (RED),1995,Chateau Lagrange,1
BORDEAUX (RED),1995,Chateau La Lagune,2
BORDEAUX (RED),1995,Chateau Langoa Barton,1
BORDEAUX (RED),1995,Chateau Latour a Pomerol ,1
BORDEAUX (RED),1995,Domaine de Chevalier,1
BORDEAUX (RED),1996,Chateau La Lagune,3
BORDEAUX (RED),2000,Chateau Cambon La Pelouse,1
BORDEAUX (RED),2000,Chateau de Fonbel,1
BORDEAUX (RED),2000,Chateau Feytit-Clinet (Magnum),1
BORDEAUX (RED),2000,Chateau Gruaud-Larose,1
BORDEAUX (RED),2000,Chateau Guillot,1
BORDEAUX (RED),2000,Chateau La Fleur Petrus,1
BORDEAUX (RED),2000,Chateau Latour a Pomerol,1
BORDEAUX (RED),2000,Chateau Lynch Bages,1
BORDEAUX (RED),2000,Chateau Pichon-Longueille Comtesse de Lalande,1
BORDEAUX (RED),2000,Chateau Talbot,1
BORDEAUX (RED),2003,Chateau Les Grands Chenes,6
BORDEAUX (WHITE),1997,Chateau La Tour Blanche,4
BORDEAUX (WHITE),1997,Chateau Lafaurie-Peyraguey,6
BORDEAUX (WHITE),2001,Chateau Doisy-Daene,2
BURGUNDY(RED),1990,Echezeaux Domaine de la Romanee-Conti,3
BURGUNDY(RED),1995,Clos de Vougeot Dom Drouhin-Larose,5
BURGUNDY(RED),1995,Mazy-Chambertin,2
BURGUNDY(RED),1995,"Pommard Grand Clos des Epenots, Dom de Courcel",1
BURGUNDY(RED),1996,Beaune-Greves Dom Tollot-Beaut et fils,22
BURGUNDY(RED),1996,Chambolle Musigny Joseph Drouhin,2
BURGUNDY(RED),1996,Clos de Vougeot Dom Joseph Drouhin 1996,5
BURGUNDY(RED),1996,Echezeaux Champy,6
BURGUNDY(RED),1996,"Nuit-St-George Clos des Forets de St-Georges, Dom de l'Arlot",6
BURGUNDY(RED),1996,Pommard Close des Epenots Dom de Courcel,4
BURGUNDY(RED),1996,Savigny-Lavieres Dom Tollot Beaut et fils,1
BURGUNDY(RED),1999,Nuits-St-Georges Les Pruliers,10
BURGUNDY(RED),1999,Volnay Clos de La Barre Louis Jadot,2
BURGUNDY(RED),1999,Savigny-les-Beaune Les Lavieres ,1
BURGUNDY(RED),2002,Bonnes-Mares Dom Drouhin Larose,1
BURGUNDY(RED),2002,Latricieres-Chambertin Dom Drouhin-Larose,1
BURGUNDY(RED),2002,Latricieres-Chambertin Dom Nicolas Potel,1
BURGUNDY(WHITE),1985,Batard-Montrachet Dom Jean-Noel Gagnard,1
BURGUNDY(WHITE),1988,Chevalier-Montrachet Dom Michel Niellon,1
BURGUNDY(WHITE),1989,Batard-Montrachet Dom Gagnard-Delagrange,1
