Government Wine Cellar - Wine and Spirit Consumption and Sales April 2017 - March 2018,,,
Country/Region,Vintage,Product name,Consumption
ALSACE,2007,Alsace Pinot Gris Les Elements Dom. Bott Geyl 2007,5
ALSACE,2007,Riesling Domaine Marcel Deiss,4
ALSACE,2008,Pinot Gris Domaine Rolly Gassmann ,8
ALSACE,2010,Gewurtztraminer Les Princes Abbes Dom Schlumberger ,17
AUSTRALIA,1995,Lindemanns Pyrus,2
AUSTRALIA,1999,Eileen Hardy Shiraz,1
AUSTRALIA,2002,D'Arenberg The Coppermine Road ,1
AUSTRALIA,2002,Giaconda Shiraz Warner Vineyard,3
AUSTRALIA,2002,Katnook Prodicy Shiraz Coonawarra,3
AUSTRALIA,2008,Moss Wood Chardonnay Margaret River,10
AUSTRALIA,2012,Beginning Chardonnay The Lane Adelaide Hills,1
AUSTRALIA,2013,Pierro Chardonnay Margaret River ,4
BORDEAUX (RED),1975,Chateau Margaux,2
BORDEAUX (RED),1979,Chateau Margaux,1
BORDEAUX (RED),1981,Chateau Beychevelle,1
BORDEAUX (RED),1982,Chateau Margaux,1
BORDEAUX (RED),1986,Chateau Beychevelle,1
BORDEAUX (RED),1988,Chateau Belair,4
BORDEAUX (RED),1988,Chateau La Lagune,2
BORDEAUX (RED),1988,Chateau Pichon-Longueville Baron,15
BORDEAUX (RED),1988,Chateau Rausan-segla ,9
BORDEAUX (RED),1988,Chateau Troplong Mondot,1
BORDEAUX (RED),1990,Chateau Brane Cantenac,23
BORDEAUX (RED),1990,Chateau Canon,4
BORDEAUX (RED),1990,Chateau Cos d'Estournel,3
BORDEAUX (RED),1990,Chateau Grand-Puy-Lacoste,20
BORDEAUX (RED),1990,Chateau Langoa Barton,4
BORDEAUX (RED),1990,Chateau Leoville Barton,7
BORDEAUX (RED),1990,Chateau Leoville Poyferre,6
BORDEAUX (RED),1990,Chateau Lynch Bages,6
BORDEAUX (RED),1990,Chateau Pichon-Longueville Comtesse de Lalande ,5
BORDEAUX (RED),1990,Chateau Senejac,4
BORDEAUX (RED),1990,Chateau Talbot,4
BORDEAUX (RED),1990,Domaine de Chevalier,4
BORDEAUX (RED),1994,Chateau Latour a Pomerol ,14
BORDEAUX (RED),1994,Chateau La Grave e Pomeral,3
BORDEAUX (RED),1995,Chateau La Langune,1
BORDEAUX (RED),1995,Chateau Branc-Cantenac ,4
BORDEAUX (RED),1998,Chateau Beausejour-Daffau-Lagarrosse,1
BORDEAUX (RED),1998,Couvent de Jacobins ,1
BORDEAUX (RED),1998,Chateau Lafite Rothschild,1
BORDEAUX (RED),1998,Chateau La Tour,1
BORDEAUX (RED),1998,Chateau Langoa Barton,1
BORDEAUX (RED),1998,Chateau Lynch-Bages,1
BORDEAUX (RED),1998,Chateau Margaux,1
BORDEAUX (RED),1998,Chateau Latour a Pomerol ,2
BORDEAUX (RED),1998,Chateau Trotanoy,1
BORDEAUX (RED),2000,Chateau Cambon la Pelouse,74
BORDEAUX (RED),2005,Chateau Belgrave,1
BORDEAUX (RED),2005,Chateau Brane Cantenac,1
BORDEAUX (RED),2005,Chateau Grand-larose,1
BORDEAUX (RED),2005,Chateau Gruaud-Larose,1
BORDEAUX (RED),2005,Chateau Lagrange ,1
BORDEAUX (RED),2005,Chateau Leoville-Barton,2
BORDEAUX (RED),2005,Chateau Lynch Bages,1
BORDEAUX (RED),2005,Chateau Pichon-Longueville Baron,1
BORDEAUX (RED),2005,Chateau Talbot,1
BORDEAUX (RED),2005,Domaine de Chevalier,1
BORDEAUX (RED),2005,Vieux Chateau Certan,1
BORDEAUX (RED),2006,Chateau Brane-Centenac,1
BORDEAUX (RED),2006,Chateau Cos d'Estournel,1
BORDEAUX (RED),2006,Chateau Gazin,2
BORDEAUX (RED),2006,Chateau Grand-Puy-Lacoste,1
BORDEAUX (RED),2006,Chateau Pichon-Longueville Baron,1
BORDEAUX (RED),2006,Chateau Pichon-Longueville Comtesse de Lalande ,1
BORDEAUX (RED),2006,Chateau Rausan-segla ,1
BORDEAUX (RED),2006,Chateau Saint Pierre 2006,1
BORDEAUX (WHITE),1967,Chateau Suduiraut,1
BORDEAUX (WHITE),1997,Chateau la Tour Blanche ,1
BORDEAUX (WHITE),1997,Chateau Rieussec,6
BURGUNDY(RED),1993,"Gevrey-Chambertin Clos Prier, Mortet",2
BURGUNDY(RED),1995,Clos de Vougeot Drouhin Lorose,3
BURGUNDY(RED),1995,Pommard Grand Clos des epenots Dom. De Courcel,7
BURGUNDY(RED),1996,Chambolle-Musigny Dom. J Drouhim,1
BURGUNDY(RED),1996,Clos de Vougeot Dom. J Drouhin Lorose,2
BURGUNDY(RED),1996,Echezeau Grand Cru Champy Pere & Fils,10
BURGUNDY(RED),1996,Nuits-Saints-Georges Clos des Forets St George,5
BURGUNDY(RED),1996,Savigny Les Lavieres Dom. Tollot-Beau,6
BURGUNDY(RED),1999,Aloxe-Corton Clos du Chapitre Champy ,2
BURGUNDY(RED),1999,Aloxe-Corton Les Fournieres,5
BURGUNDY(RED),1999,Clos de Vougeot Dom. Hudelot-Noellat,16
BURGUNDY(RED),1999,Le Corton Grand Cru ,1
BURGUNDY(RED),1999,Nuits-Saints-Georges Clos les Pruliers,1
BURGUNDY(RED),1999,Pommard Clos des Epeneaux,1
BURGUNDY(RED),1999,Savigny Les Beaunne Les Lavieres,3
BURGUNDY(RED),1999,Volnay Caillerets Ancienne Cuvee Carnot ,1
BURGUNDY(RED),1999,Volnay Clos de la Barre,1
BURGUNDY(RED),1999,Vosne Romanee Les Malconsorts,10
BURGUNDY(RED),2002,Chassangne-Montrachet Chateau de La Maltroye,1
BURGUNDY(RED),2003,Clos de La Roche Grand Cru Dom. David Duband,1
BURGUNDY(RED),2003,Clos de Vougeot Grant Cru Dom. Rene Engel,1
BURGUNDY(RED),2003,Corton Les Grandes Lollieres Grand Cru Dom. Bertagna,1
BURGUNDY(RED),2005,Gevrey-Chambertin au Closeau Dom. D Laroze,1
