Government Wine Cellar - wine and spirit consumption and sales April 2015 - March 2016,,,
Wines consumed,,,
Country/Region,Vintage,Product name,Consumption
ALSACE,2001,Alsace Riesling Wineck-Schlossberg Meyer Fonne,41
ALSACE,2001,Gewurtztraminer Cuvee Theo Dom. Weinbach,12
ALSACE,2001,Tokay Pinot Gris Reserve Particuliere Meyer Fonne ,46
ALSACE,2007,Pinot Gris Les Elements Bott Geyl,4
ALSACE,2007,Riesling Grand Cru Kirchberg Dom. Jean Sipp,4
ALSACE,2008,Pinot Gris 2008  Dom. Rolly Gasmann,6
ALSACE,2010,Gewurtztraminer Les Princes Abbes Dom. Schlumberger,3
ARMAGNAC,,Armagnac Chateau de Laubade,0.25
AUSTRIA,2011,Loibner Steinertal Riesling Smaragd FX Picher ,1
AUSTRALIA ,2008,Moss Wood Chardonnay Margaret River ,2
BORDEAUX(RED),1988,Chateau Belair ,7
BORDEAUX(RED),1988,Chateau Lafite Rothschild ,2
BORDEAUX(RED),1988,Chateau Margaux ,1
BORDEAUX(RED),1988,Chateau Mouton Rothschild ,1
BORDEAUX(RED),1988,Chateau Pichon Longueville Baron ,23
BORDEAUX(RED),1988,Chateau Rausan-Segla ,5
BORDEAUX(RED),1988,Chateau Troplong Mondot ,1
BORDEAUX(RED),1989,Chateau Cos d’Estournel ,1
BORDEAUX(RED),1989,Chateau Haut-Brion ,32
BORDEAUX(RED),1990,Chateau Beychevelle ,21
BORDEAUX(RED),1990,Chateau Brane Cantenac ,9
BORDEAUX(RED),1990,Chateau Calon-Segur ,15
BORDEAUX(RED),1990,Chateau Canon ,20
BORDEAUX(RED),1990,Chateau Cos d’Estournel ,12
BORDEAUX(RED),1990,Chateau Grand-Puy-Lacoste ,64
BORDEAUX(RED),1990,Chateau Langoa Barton ,30
BORDEAUX(RED),1990,Chateau Leoville Poyferre ,8
BORDEAUX(RED),1990,Chateau Lynch Bages ,5
BORDEAUX(RED),1990,Chateau Senejac ,4
BORDEAUX(RED),1990,Chateau Talbot ,16
BORDEAUX(RED),1990,Chateau Trotanoy ,12
BORDEAUX(RED),1990,Domaine de Chavalier ,7
BORDEAUX(RED),1994,Chateau d’Angludet ,122
BORDEAUX(RED),1994,Chateau La Grave a Pomerol Trigant de Boisset ,1
BORDEAUX(RED),1994,Chateau Latour a Pomerol ,7
BORDEAUX(RED),1995,Chateau La Lagune ,2
BORDEAUX(RED),1996,Chateau Batailley ,5
BORDEAUX(RED),2000,Chateau Cambon La Pelouse ,1
BORDEAUX( WHITE),1997,Chateau La Tour Blanche ,3
BORDEAUX( WHITE),1997,Chateau Lafaurie-Peyraguey ,1
BORDEAUX( WHITE),1997,Chateau Suduiraut ,4
BORDEAUX( WHITE),2001,Chateau La Tour Blanche (½ bottles) ,2
BURGUNDY(RED),1985,Morey Saint Denis  Vienot,10
BURGUNDY(RED),1995,Clos de Vougeot   Dom. Drouhin-Larose,19
BURGUNDY(RED),1996,Beaune-Greves Tollot-Beaut,15
BURGUNDY(RED),1996,Beaune-Montrevenots  Boillot,101
BURGUNDY(RED),1996,Chambolle-Musigny Joseph Drouhin,3
BURGUNDY(RED),1996,Clos de Vougeot  J Drouhin,3
BURGUNDY(RED),1996,Nuit-St-Georges Clos des Forets St Georges ,13
BURGUNDY(RED),1996,Pommard Clos des Epenots ,4
BURGUNDY(RED),1996,Savigny Les Lavieres  Dom. Tollot-Beaut,1
BURGUNDY(RED),1999,Aloxe-Corton Clos du Chapitre ,3
BURGUNDY(RED),1999,Aloxe-Corton Les Fournieres  Tollot-Beaut,12
BURGUNDY(RED),1999,Clos de Vougeot Grand Cru  Hudelot-Noellat,5
BURGUNDY(RED),1999,Savigny Les Beaune Les Lavieres Dom. Chandon de Briailles  ,1
BURGUNDY(RED),1999,Volnay Clos de la Barre  Louis Jadot,6
BURGUNDY(RED),2002,Beaune Clos des Mouches  J Drouhin,8
BURGUNDY(RED),2002,Chassagne-Montrachet Clos du Chateau   Chateau de la Maltroye,1
BURGUNDY(RED),2005,Gevrey-Chambertin au Closeau   Drouhin-Larose,1
BURGUNDY(RED),2005,Gevrey-Chambertin Clos Prieur   Marc Roy,1
BURGUNDY(RED),2005,Morey-St-Denis Millandes   P Amiot et Fils,1
BURGUNDY(RED),2005,Nuits-St Georges Les Vignes Rondes   J Confuron Coteditot,1
BURGUNDY(RED),2005,Nuits-St-Georges Clos des Grandes Vignes   Montille,1
BURGUNDY(RED),2005,Nuits-St-Georges Les Damodes   Chauvenet,1
BURGUNDY(RED),2005,Pommard Les Petits Noizons   Dom. de la Vougeraie,1
BURGUNDY(RED),2005,Volnay Cailleret   Nicolas Rossignol,1
BURGUNDY(RED),2005,Vosne-Romanee Les Suchots  J Confuron Coteditot,1
BURGUNDY(WHITE),1989,Batard-Montrachet   Dom. Gagnard-Delagrange,1
BURGUNDY(WHITE),2004,Chassagne-Montrachet La Grande Montagne ,5
BURGUNDY(WHITE),2004,Puligny-Montrachet Champ Gain  Dom. Gagey,3
BURGUNDY(WHITE),2004,Puligny-Montrachet Hameau de Blagny ,4
BURGUNDY(WHITE),2005,Corton Charlemagne Grand Cru  Bonneau du Martray,13
BURGUNDY(WHITE),2005,Meursault Les Grand Charrons M. Bouzereau,11
BURGUNDY(WHITE),2005,Meursault Perrieres  Chanson,1
BURGUNDY(WHITE),2005,Puligny Montrachet Les Garennes   Remoissenet Père et fils,14
BURGUNDY(WHITE),2005,Puligny-Montrachet Les Champ Gain  M & M,5
BURGUNDY(WHITE),2006,Puligny-Montrachet  Chateau de Puligny Montrachet,8
BURGUNDY(WHITE),2006,Puligny-Montrachet Les Folatierers  Louis Jadot,7
BURGUNDY(WHITE),2006,Puligny-Montrachet Les Referts   Remoissenet Père et fils ,14
BURGUNDY(WHITE),2007,Chassagne-Montrachet Morgeot  Chateau de la Maltroye,6
BURGUNDY(WHITE),2007,Chassagne-Montrachet Morgeot Les Fairendes   JM Pillot,12
BURGUNDY(WHITE),2007,Meursault Santenots  Domaine Marquis d’Angerville,58
BURGUNDY(WHITE),2007,Monthelie   Chateau de Puligny-Montrachet,16
BURGUNDY(WHITE),2007,Pouilly-Fuisse Les Vieilles Vignes   Chateau de Fuisse,13
BURGUNDY(WHITE),2007,Puligny-Montrachet Clavoillon   Dom. Leflaive,12
BURGUNDY(WHITE),2008,Chablis Vaillon  Cuvee Guy Moreau  Christian Moreau Pere et fils,26
CHAMPAGNE,1995,Taittinger Comtes de Champagne   Blanc de Blancs,3
CHAMPAGNE,2000,Louis Roederer Brut ,24
CHAMPAGNE,,Berry Bros Grand Cru Brut NV,9
CHAMPAGNE,,Louis Roederer Brut NV,41
CHAMPAGNE,,Louis Roederer Carte Blanche NV,33
CHAMPAGNE,,Pol Roger Brut NV,24
CHILE,2001,Le Dix de los Vascos   Dom. Barons Rothschild,4
COGNAC,1948,Frapin Grande Champagne ,0.25
COGNAC,,Frapin FLB Grande Champagne NV,0.5
ENGLAND/WALES,2007,Nyetimber Classic Cuvee ,37
ENGLAND/WALES,2008,Breaky Bottom Brut Reserve ,6
ENGLAND/WALES,2008,Camel Valley Brut ,22
ENGLAND/WALES,2009,Ridgeview Grosvenor Brut ,45
ENGLAND/WALES,2010,Ancre Hill Blanc de Noirs ,64
ENGLAND/WALES,2010,Camel Valley Brut Rose ,82
ENGLAND/WALES,,Nyetimber Demi Sec NV,30
ENGLAND/WALES,2006,Denbies Schonburger ,6
ENGLAND/WALES,2009,Chapel Down Chardonnay ,35
ENGLAND/WALES,2009,Three Choirs Willow Brook ,14
ENGLAND/WALES,2010,Camel Valley Atlantic Dry ,33
LOIRE,2007,Sancerre Terre de Maimbray   Pascal et Nicolas Reverdy,4
LOIRE,2010,Sancerre  Domaine Vacheron,11
LOIRE,2010,Sancerre Nuance  Vincent Pinard,7
MOSEL,2001,Graacher Himmelreich Riesling Spatlese   JJ Prum,19
MOSEL,2001,Scharzhofberger Riesling Spatlese   von Hovel,3
MOSEL,2001,Wehlener Sonnenuhr Riesling Spatlese   JJ Prum,7
MOSEL,2007,Bernkasteler Badstube Riesling Kabinet  JJ Prum,7
MOSEL,2007,Maximin Grunhauser Abtsberg Riesling Kabinett   von Schubert,9
