College,Major,Class,CumulativeGPA,TotHoursPassd,Gender,RaceEth,Treatment
CALS,11AGBUSBS,Senior,2.401,185,F,Asian,1
CALS,11ANSCBS,Senior,1.449,122.5,F,Asian,2
CALS,11ANSCBS,Senior,3.064,130,F,Asian,1
CALS,11ANSCBS,Senior,3.544,147,F,Asian,2
CALS,11ANSCBS,Senior,3.661,130,F,Asian,1
CALS,11ANSCBS,Senior,3.762,134,F,Asian,3
CALS,11BIOCHBS,Senior,2.141,145,F,Asian,3
CALS,11BIOCHBS,Senior,2.372,157,F,Asian,2
CALS,11BIOCHBS,Senior,2.802,144,F,Asian,3
CALS,11BIOCHBS,Senior,3.026,122,F,Asian,2
CALS,11BIOCHBS,Senior,3.177,155,F,Asian,1
CALS,11BIOCHBS,Senior,3.613,145,F,Asian,3
CALS,11BIOCHBS,Senior,3.712,170,F,Asian,2
CALS,11BIOCHBS,Senior,3.903,142,F,Asian,3
CALS,11EXTEDBS,Senior,2.57,133,F,Asian,2
CALS,11FOODSBS,Senior,2.357,135,F,Asian,1
CALS,11FOODSBS,Senior,3.561,186,F,Asian,1
CALS,11FOODSBS,Senior,3.612,130,F,Asian,2
CALS,11HORTBS,Senior,3.688,171,F,Asian,3
CALS,11NTSBS,Senior,2.958,130,F,Asian,2
CALS,11NTSBS,Senior,3.207,122,F,Asian,1
CALS,11NTSBS,Senior,3.319,121,F,Asian,1
CALS,11NTSBS,Senior,3.345,149,F,Asian,2
CALS,11NTSBS,Senior,3.55,130,F,Asian,3
CALS,11NTSBS,Senior,3.672,161,F,Asian,3
CALS,11NTSBS,Senior,3.734,152,F,Asian,1
CALS,11NTSBS,Senior,3.811,134,F,Asian,2
CALS,11NTSBS,Senior,3.915,137,F,Asian,3
CALS,11NTSBS,Senior,3.933,142,F,Asian,3
CALS,11PLTRYBS,Senior,2.964,162,F,Asian,1
CALS,11AGBUSBS,Senior,2.246,129,F,Black or African American,1
CALS,11AGBUSBS,Senior,2.753,133,F,Black or African American,2
CALS,11AGEVTBS,Senior,2,132,F,Black or African American,3
CALS,11ANSCBS,Senior,2.72,166,F,Black or African American,2
CALS,11ANSCBS,Senior,2.887,122,F,Black or African American,2
CALS,11ANSCBS,Senior,3.012,131,F,Black or African American,1
CALS,11ANSCBS,Senior,3.472,154,F,Black or African American,1
CALS,11BEBS,Senior,2.843,133,F,Black or African American,2
CALS,11BIOCHBS,Senior,2.299,148,F,Black or African American,1
CALS,11BIOCHBS,Senior,3.379,130,F,Black or African American,3
CALS,11NTSBS,Senior,1.783,130,F,Black or African American,3
CALS,11NTSBS,Senior,2.197,123,F,Black or African American,2
CALS,11NTSBS,Senior,2.436,140,F,Black or African American,3
CALS,11NTSBS,Senior,2.533,123,F,Black or African American,3
CALS,11NTSBS,Senior,2.801,133,F,Black or African American,1
CALS,11NTSBS,Senior,2.932,133,F,Black or African American,2
CALS,11NTSBS,Senior,3.591,135,F,Black or African American,3
CALS,11ANSCBS,Senior,1.608,142,F,Hispanics of Any Race,3
CALS,11ANSCBS,Senior,1.908,135,F,Hispanics of Any Race,1
CALS,11ANSCBS,Senior,2.751,147,F,Hispanics of Any Race,3
CALS,11ANSCBS,Senior,2.759,150,F,Hispanics of Any Race,1
CALS,11ANSCBS,Senior,2.921,126,F,Hispanics of Any Race,3
CALS,11ANSCBS,Senior,3,134,F,Hispanics of Any Race,1
CALS,11ANSCBS,Senior,3.205,129,F,Hispanics of Any Race,3
CALS,11ANSCBS,Senior,3.254,139,F,Hispanics of Any Race,2
CALS,11ANSCBS,Senior,3.35,147,F,Hispanics of Any Race,3
CALS,11ANSCBS,Senior,3.573,127,F,Hispanics of Any Race,1
CALS,11BEBS,Senior,2.571,174,F,Hispanics of Any Race,1
CALS,11BEBS,Senior,3.057,126,F,Hispanics of Any Race,1
CALS,11HORTBS,Senior,2.928,132,F,Hispanics of Any Race,2
CALS,11NTSBS,Senior,2.913,129,F,Hispanics of Any Race,2
CALS,11NTSBS,Senior,3.279,125,F,Hispanics of Any Race,2
CALS,11NTSBS,Senior,3.397,125,F,Hispanics of Any Race,2
CALS,11NTSBS,Senior,3.673,127,F,Hispanics of Any Race,2
CALS,11PLTRYBS,Senior,3.578,204,F,Hispanics of Any Race,3
CALS,11AGBUSBS,Senior,2.7,123,F,NRA,1
CALS,11BIOCHBS,Senior,3.489,128,F,NRA,1
CALS,11HORTBS,Senior,3.917,138,F,NRA,2
CALS,11NTSBS,Senior,2.755,126,F,NRA,2
CALS,11NTSBS,Senior,2.757,132,F,NRA,1
CALS,11NTSBS,Senior,3.08,139,F,NRA,2
CALS,11NTSBS,Senior,3.412,132,F,NRA,3
CALS,11AGBUSBS,Senior,2.693,122,F,Two or More Races,2
CALS,11AGSBS,Senior,3.279,139,F,Two or More Races,3
CALS,11ANSCBS,Senior,1.88,182,F,Two or More Races,1
CALS,11ANSCBS,Senior,2.319,128,F,Two or More Races,3
CALS,11ANSCBS,Senior,3.014,151,F,Two or More Races,2
CALS,11ANSCBS,Senior,3.081,135,F,Two or More Races,1
CALS,11ANSCBS,Senior,3.353,121,F,Two or More Races,3
CALS,11ANSCBS,Senior,3.763,125,F,Two or More Races,1
CALS,11BIOCHBS,Senior,2.903,123,F,Two or More Races,2
CALS,11HORTBS,Senior,3.639,149,F,Two or More Races,2
CALS,11HORTBS,Senior,3.812,164,F,Two or More Races,3
CALS,11NTSBS,Senior,2.803,134,F,Two or More Races,2
CALS,11NTSBS,Senior,3.268,145,F,Two or More Races,1
CALS,11NTSBS,Senior,3.271,124,F,Two or More Races,1
CALS,11NTSBS,Senior,3.43,139,F,Two or More Races,3
CALS,11ANSCBS,Senior,3.545,149,F,Unknown,1
CALS,11ANSCBS,Senior,3.728,124,F,Unknown,1
CALS,11ANSCBS,Senior,3.79,130,F,Unknown,3
CALS,11BIOCHBS,Senior,3.479,133,F,Unknown,3
CALS,11BIOCHBS,Senior,3.721,128,F,Unknown,2
CALS,11BIOCHBS,Senior,4,129,F,Unknown,3
CALS,11NTSBS,Senior,2.754,130,F,Unknown,2
CALS,11NTSBS,Senior,3.524,154,F,Unknown,2
CALS,11AGBUSBS,Senior,2.442,126,F,White,1
CALS,11AGBUSBS,Senior,2.74,132,F,White,2
CALS,11AGBUSBS,Senior,2.811,129,F,White,2
CALS,11AGBUSBS,Senior,2.87,130,F,White,3
CALS,11AGBUSBS,Senior,3.109,128,F,White,1
CALS,11AGBUSBS,Senior,3.201,123,F,White,2
CALS,11AGBUSBS,Senior,3.207,124,F,White,3
CALS,11AGBUSBS,Senior,3.265,126,F,White,2
CALS,11AGBUSBS,Senior,3.283,122,F,White,3
CALS,11AGBUSBS,Senior,3.427,124,F,White,3
CALS,11AGBUSBS,Senior,3.755,166,F,White,3
CALS,11AGBUSBS,Senior,4,171,F,White,1
CALS,11AGEDBS,Senior,2.785,125,F,White,1
CALS,11AGEDBS,Senior,2.904,125,F,White,1
CALS,11AGEDBS,Senior,2.923,137,F,White,1
CALS,11AGEDBS,Senior,3.084,131,F,White,2
CALS,11AGEDBS,Senior,3.163,122,F,White,2
