                           day    site       y

                            1       1      47500
                            1       1      39600
                            1       1      53100
                            1       1      99200
                            1       1      15700
                            1       1      32900
                            1       1      41500
                            1       1     286500
                            1       1      49800
                            1       1      34900
                            2       1      35000
                            2       1     195000
                            2       1      38000
                            2       1      14900
                            2       1      32000
                            2       1      15000
                            2       1      88000
                            2       1      29000
                            2       1     220000
                            2       1      92000
                            3       1      68000
                            3       1     110000
                            3       1      27000
                            3       1     345000
                            3       1      41500
                            3       1      15100
                            3       1      27000
                            3       1     195000
                            3       1      33000
                            3       1      91000
                            1       2      45700
                            1       2      71400
                            1       2      19500
                            1       2      28400
                            1       2     112100
                            1       2      21600
                            1       2      16100
                            1       2      13500
                            1       2      74600
                            1       2      80200
                            2       2      54000
                            2       2      45000
                            2       2      62000
                            2       2      15200
                            2       2      82000
                            2       2      39000
                            2       2      54000
                            2       2      67000
                            2       2      49000
                            2       2      53000
                            3       2      11000
                            3       2      35000
                            3       2       6200
                            3       2      18500
                            3       2      46000
                            3       2      77000
                            3       2      55000
                            3       2      26000
                            3       2      15000
                            3       2      42000
                            1       3       9000
                            1       3       9500
                            1       3      12700
                            1       3      12900
                            1       3      12600
                            1       3       8000
                            1       3      10700
                            1       3      21300
                            1       3      13900
                            2       3      14900
                            2       3       4000
                            2       3       7000
                            2       3      15000
                            2       3       6000
                            2       3       4000
                            2       3       4000
                            2       3      15000
                            2       3       6000
                            2       3       5000
                            3       3       6000
                            3       3      15000
                            3       3       2000
                            3       3       1000
                            3       3       4000
                            3       3       4000
                            3       3       6000
                            3       3      15000
                            3       3       7000
                            3       3       2000
                            1       3       9600
                            1       4       4300
                            1       4       3100
                            1       4      18100
                            1       4      26600
                            1       4      17200
                            1       4       6500
                            1       4      18300
                            1       4       6400
                            1       4      11300
                            1       4       6100
                            2       4       3000
                            2       4      14900
                            2       4       7000
                            2       4       5000
                            2       4       3000
                            2       4      15000
                            2       4       5000
                            2       4      15000
                            2       4      15000
                            2       4       4000
                            3       4       3000
                            3       4       6000
                            3       4      15000
                            3       4      14900
                            3       4       3000
                            3       4      14800
                            3       4      15000
                            3       4       4000
                            3       4       3000
                            3       4       5000
