   y         plant  leaf   rep
   11.2      1      1      1
   11.6      1      1      2
   12.0      1      1      3
   16.5      1      2      1
   16.8      1      2      2
   16.1      1      2      3
   18.3      1      3      1
   18.7      1      3      2
   19.0      1      3      3
   14.1      2      1      1
   13.8      2      1      2
   14.2      2      1      3
   19.0      2      2      1
   18.5      2      2      2
   18.2      2      2      3
   11.9      2      3      1
   12.4      2      3      2
   12.0      2      3      3
   15.3      3      1      1
   15.9      3      1      2
   16.0      3      1      3
   19.5      3      2      1
   20.1      3      2      2
   19.3      3      2      3
   16.5      3      3      1
   17.2      3      3      2
   16.9      3      3      3
    7.3      4      1      1
    7.8      4      1      2
    7.0      4      1      3
    8.9      4      2      1
    9.4      4      2      2
    9.3      4      2      3
   11.3      4      3      1
   10.9      4      3      2
   10.5      4      3      3
